Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Cities,,,,,,
FDA15,9.3,Low Fat,0.016047301,Dairy,249.8092,OUT049,1999,Medium,Tier 1,Supermarket Type1,3735.138,Chennai,,,,,,
DRC01,5.92,Regular,0.019278216,Soft Drinks,48.2692,OUT018,2009,Medium,Tier 3,Supermarket Type2,443.4228,Meerut,,, ,Tier 1,Tier 2,Tier 3
FDN15,17.5,Low Fat,0.016760075,Meat,141.618,OUT049,1999,Medium,Tier 1,Supermarket Type1,2097.27,Mumbai,,,,Delhi,Chandigarh,Yamunanagar
FDX07,19.2,Regular,0.053930934,Fruits and Vegetables,182.095,OUT010,1998,Medium,Tier 3,Grocery Store,732.38,Meerut,,,,Mumbai,Jaipur,Patna
NCD19,8.93,Low Fat,0.053930934,Household,53.8614,OUT013,1987,High,Tier 3,Supermarket Type1,994.7052,Patna,,,,Bangalore,Lucknow,Bhopal
FDP36,10.395,Regular,0.053930934,Baking Goods,51.4008,OUT018,2009,Medium,Tier 3,Supermarket Type2,556.6088,Bhopal,,,,Hyderabad,Ahmedabad,Varanasi
FDO10,13.65,Regular,0.012741089,Snack Foods,57.6588,OUT013,1987,High,Tier 3,Supermarket Type1,343.5528,Yamunanagar,,,,Chennai,Indore,Meerut
FDP10,12.6,Low Fat,0.127469857,Snack Foods,107.7622,OUT027,1985,Medium,Tier 3,Supermarket Type3,4022.7636,Bhopal,,,,Kolkata,Nagpur,Ranchi
FDH17,16.2,Regular,0.016687114,Frozen Foods,96.9726,OUT045,2002,Medium,Tier 2,Supermarket Type1,1076.5986,Jaipur,,,,Pune,Surat,Guwahati
FDU28,19.2,Regular,0.09444959,Frozen Foods,187.8214,OUT017,2007,Medium,Tier 2,Supermarket Type1,4710.535,Indore,,,,,,
FDY07,11.8,Low Fat,0.053930934,Fruits and Vegetables,45.5402,OUT049,1999,Medium,Tier 1,Supermarket Type1,1516.0266,Mumbai,,,,,,
